,Id,TotalSteps,TrackerDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,Calories
Id,1.0,0.22310282234614306,0.2808956660720642,0.41644923687780805,0.03997269145244193,0.011355391018535001,0.438851130262666
TotalSteps,0.22310282234614306,1.0,0.9864888369813815,0.7969679816032418,0.5344425017815179,0.7860306509825794,0.42618021350477886
TrackerDistance,0.2808956660720642,0.9864888369813815,1.0,0.8249152286245198,0.4915409329661138,0.7792226023576717,0.5215811672481457
VeryActiveDistance,0.41644923687780805,0.7969679816032418,0.8249152286245198,1.0,0.19682938348304363,0.33847925218432884,0.51717853122821
ModeratelyActiveDistance,0.03997269145244193,0.5344425017815179,0.4915409329661138,0.19682938348304363,1.0,0.38535710845834015,0.10342536542249633
LightActiveDistance,0.011355391018535001,0.7860306509825794,0.7792226023576717,0.33847925218432884,0.38535710845834015,1.0,0.31880169340155173
Calories,0.438851130262666,0.42618021350477886,0.5215811672481457,0.51717853122821,0.10342536542249633,0.31880169340155173,1.0
